x,workplaces
0.0929,-0.00582
2.36,0.01096
4.716,0.00453
6.9817,0.01551
9.3377,0.00908
11.695,0.00844
13.9594,0.01363
16.3139,0.0014
18.5728,-0.0166
19.4174,-0.03422
20.8345,-0.02301
22.7969,-0.0989
24.3752,-0.20367
26.2433,-0.27954
27.7602,-0.24517
28.3177,-0.2801
29.4205,-0.40214
30.4263,-0.53574
31.8148,-0.64626
34.075,-0.65846
35.6999,-0.56615
36.8983,-0.68241
39.0616,-0.70618
41.2371,-0.67779
42.5846,-0.56221
